id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
064308ac-57f2-4c90-8442-86085e0f6e3d,Fulton,IN100183,BL1005,Opulent Open,Gulabi Opulent Open - 34,F,34,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
06574c16-383a-47c9-be29-f7c9d54cfc44,Fulton,IN100085,BL1002,Graceful Pleat,Gulabi Graceful Pleat - 34,F,34,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
087e84cf-d5b4-47f9-8937-3ac760ef031c,Fulton,IN100219,BL1001,Divine Depth,Silk Cream Divine Depth,F,48,Blouse,Dupion Silk,Silk Cream,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
08f53524-8c95-48cc-91ae-5e6d0146f5ac,Fulton,IN100070,BL1001,Divine Depth,Festive White Divine Depth,F,42,Blouse,Lurex - Thick Line,Festive White,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
09a635d0-ef33-40a9-ae70-472923008a59,Fulton,IN100137,BL1001,Divine Depth,Greyish Blue Divine Depth - 44,F,44,Blouse,Rayon,Greyish Blue,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0ae593b6-62d6-45b2-b81d-8b23b39ec49d,Fulton,IN100076,BL1002,Graceful Pleat,Gulabi Graceful Pleat - 42,F,42,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0cdb4d8b-bfb7-499c-a668-86dcd1a34d87,Fulton,IN100164,BL1004,Forever Classy,Black Forever Classy - 40,F,40,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0db59636-7680-4fc6-8b1a-a05ab2249a61,Fulton,IN100186,BL1001,Divine Depth,Silk Cream Divine Depth,F,44,Blouse,Dupion Silk,Silk Cream,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0e275b6a-8e4b-4233-96d3-78d381f7e791,Fulton,IN100228,BL1001,Divine Depth,Silver Foil Divine Depth,F,42,Blouse,Foil,Silver Foil,190.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0fb26578-1cdb-48e0-baaf-dc9dd7d57a16,Fulton,IN100087,BL1002,Graceful Pleat,Gulabi Graceful Pleat - 44,F,44,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
1167333d-8639-4ad4-a38c-d84bd386da33,Fulton,IN100109,BL1001,Divine Depth,Gulabi Divine Depth - 36,F,36,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
12272d9c-8cd0-4f36-8b0f-89615eddd6a6,Fulton,IN100125,BL1002,Graceful Pleat,Red Graceful Pleat - 42,F,42,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
123a02ea-0163-437f-bd96-a26a5386d0e2,Fulton,IN100212,BL1001,Divine Depth,Festive Yellow Divine Depth,F,34,Blouse,Lurex - Thick Line,Festive Yellow,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
14ecc22f-cd5f-4cd4-9831-2461f5f3debd,Fulton,IN100048,BL1001,Divine Depth,Beige Divine Depth - 38,F,38,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
18130c7f-de55-413b-acfb-1e0943782110,Fulton,IN100176,BL1001,Divine Depth,Festive Yellow Divine Depth,F,44,Blouse,Lurex - Thick Line,Festive Yellow,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
